,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
597,GSW,ATL,03/02/2018,240,W,114,42,79,53.2,11,31,35.5,19,22,86.4,2,33,35,33,12,5,18,20,5
598,IND,MIL,03/02/2018,240,W,103,37,83,44.6,6,16,37.5,23,30,76.7,13,35,48,19,12,4,16,23,7
599,MIL,IND,03/02/2018,240,L,96,31,81,38.3,9,25,36.0,25,32,78.1,14,29,43,15,9,13,15,24,-7
600,UTA,MIN,03/02/2018,240,W,116,40,78,51.3,9,29,31.0,27,35,77.1,11,34,45,21,7,5,19,21,8
601,MIN,UTA,03/02/2018,240,L,108,38,74,51.4,9,17,52.9,23,31,74.2,2,25,27,14,9,0,13,23,-8
602,DET,ORL,03/02/2018,265,L,106,40,92,43.5,12,29,41.4,14,24,58.3,13,30,43,22,10,1,14,17,-9
603,ORL,DET,03/02/2018,265,W,115,44,86,51.2,13,36,36.1,14,19,73.7,7,38,45,34,8,3,17,23,9
604,LAC,NYK,03/02/2018,240,W,128,50,89,56.2,9,25,36.0,19,24,79.2,14,37,51,34,14,6,11,17,23
605,NYK,LAC,03/02/2018,240,L,105,41,89,46.1,11,25,44.0,12,16,75.0,10,23,33,24,4,4,17,22,-23
606,PHX,OKC,03/02/2018,240,L,116,46,96,47.9,11,25,44.0,13,18,72.2,13,31,44,26,5,12,15,25,-8
607,OKC,PHX,03/02/2018,240,W,124,46,96,47.9,11,34,32.4,21,29,72.4,16,32,48,22,5,11,11,20,8
608,CHI,DAL,03/02/2018,240,W,108,42,89,47.2,10,27,37.0,14,20,70.0,11,34,45,24,10,2,13,18,8
609,DAL,CHI,03/02/2018,240,L,100,35,84,41.7,13,29,44.8,17,21,81.0,13,33,46,21,6,4,17,15,-8
610,CHA,PHI,03/02/2018,240,L,99,34,81,42.0,11,24,45.8,20,32,62.5,7,32,39,21,7,0,10,25,-11
611,PHI,CHA,03/02/2018,240,W,110,41,81,50.6,9,24,37.5,19,25,76.0,7,39,46,27,4,5,12,22,11
612,BKN,SAC,03/01/2018,265,L,111,40,96,41.7,17,46,37.0,14,17,82.4,16,35,51,27,10,4,22,14,-5
613,SAC,BKN,03/01/2018,265,W,116,50,97,51.5,6,14,42.9,10,12,83.3,11,33,44,23,15,6,15,13,5
614,POR,MIN,03/01/2018,240,W,108,36,92,39.1,9,30,30.0,27,35,77.1,12,36,48,17,9,6,8,18,9
615,MIN,POR,03/01/2018,240,L,99,38,85,44.7,4,20,20.0,19,21,90.5,9,40,49,16,5,7,15,24,-9
616,MIA,LAL,03/01/2018,240,L,113,46,95,48.4,9,31,29.0,12,16,75.0,14,26,40,23,6,5,11,21,-18
617,LAL,MIA,03/01/2018,240,W,131,47,79,59.5,16,29,55.2,21,26,80.8,6,30,36,29,9,5,14,17,18
618,PHI,CLE,03/01/2018,240,W,108,40,90,44.4,10,30,33.3,18,27,66.7,14,40,54,22,4,5,10,20,11
619,CLE,PHI,03/01/2018,240,L,97,36,87,41.4,9,32,28.1,16,23,69.6,10,35,45,23,4,6,10,21,-11
620,MEM,PHX,02/28/2018,240,L,102,33,87,37.9,13,31,41.9,23,28,82.1,11,37,48,23,8,8,20,29,-8
621,PHX,MEM,02/28/2018,240,W,110,38,83,45.8,6,21,28.6,28,38,73.7,8,39,47,19,12,6,16,28,8
622,WAS,GSW,02/28/2018,240,L,101,36,90,40.0,11,32,34.4,18,21,85.7,18,33,51,25,6,4,18,24,-8
623,GSW,WAS,02/28/2018,240,W,109,37,72,51.4,10,24,41.7,25,30,83.3,3,33,36,24,10,8,14,21,8
624,IND,ATL,02/28/2018,240,L,102,38,90,42.2,11,32,34.4,15,20,75.0,11,32,43,21,13,5,24,20,-5
625,ATL,IND,02/28/2018,240,W,107,38,87,43.7,9,29,31.0,22,27,81.5,15,34,49,21,13,11,21,23,5
626,OKC,DAL,02/28/2018,265,W,111,42,93,45.2,10,36,27.8,17,19,89.5,19,37,56,19,7,2,22,24,1
627,DAL,OKC,02/28/2018,265,L,110,44,91,48.4,13,36,36.1,9,15,60.0,8,28,36,30,11,1,17,22,-1
628,DET,MIL,02/28/2018,240,W,110,42,95,44.2,9,29,31.0,17,22,77.3,22,35,57,26,9,0,11,20,23
629,MIL,DET,02/28/2018,240,L,87,28,73,38.4,8,24,33.3,23,28,82.1,6,29,35,16,7,3,13,20,-23
630,ORL,TOR,02/28/2018,240,L,104,39,82,47.6,13,30,43.3,13,23,56.5,8,34,42,27,8,2,13,19,-13
631,TOR,ORL,02/28/2018,240,W,117,45,83,54.2,12,30,40.0,15,24,62.5,7,35,42,33,9,7,12,22,13
632,LAC,HOU,02/28/2018,240,L,92,36,79,45.6,7,23,30.4,13,19,68.4,4,35,39,17,6,2,18,19,-13
633,HOU,LAC,02/28/2018,240,W,105,36,85,42.4,13,43,30.2,20,24,83.3,10,31,41,21,11,5,10,21,13
634,CHA,BOS,02/28/2018,240,L,106,42,91,46.2,9,27,33.3,13,22,59.1,9,24,33,24,6,6,7,17,-28
635,BOS,CHA,02/28/2018,240,W,134,54,87,62.1,12,20,60.0,14,15,93.3,4,43,47,31,3,4,11,20,28
636,NOP,SAS,02/28/2018,240,W,121,50,99,50.5,9,26,34.6,12,15,80.0,12,31,43,26,7,3,12,17,5
637,SAS,NOP,02/28/2018,240,L,116,48,99,48.5,9,26,34.6,11,14,78.6,13,34,47,23,7,9,11,15,-5
638,CHI,CHA,02/27/2018,240,L,103,39,81,48.1,9,24,37.5,16,21,76.2,11,33,44,26,8,5,21,23,-15
639,CHA,CHI,02/27/2018,240,W,118,44,82,53.7,15,35,42.9,15,21,71.4,6,29,35,28,11,8,14,14,15
640,DEN,LAC,02/27/2018,240,L,120,43,87,49.4,10,31,32.3,24,30,80.0,11,30,41,27,11,7,20,27,-2
641,LAC,DEN,02/27/2018,240,W,122,46,89,51.7,7,26,26.9,23,31,74.2,13,30,43,26,12,7,19,25,2
642,MIL,WAS,02/27/2018,240,L,104,35,77,45.5,10,26,38.5,24,28,85.7,8,32,40,20,10,9,17,20,-3
643,WAS,MIL,02/27/2018,240,W,107,42,88,47.7,7,20,35.0,16,22,72.7,9,31,40,30,9,6,13,22,3
644,SAC,POR,02/27/2018,240,L,99,39,88,44.3,7,22,31.8,14,15,93.3,6,30,36,20,14,4,12,12,-17
645,POR,SAC,02/27/2018,240,W,116,44,84,52.4,15,34,44.1,13,17,76.5,10,37,47,27,10,2,18,15,17
646,MIA,PHI,02/27/2018,240,W,102,36,82,43.9,9,27,33.3,21,28,75.0,11,26,37,19,12,9,16,19,1
647,PHI,MIA,02/27/2018,240,L,101,35,84,41.7,12,31,38.7,19,23,82.6,10,34,44,25,10,3,23,24,-1
648,BKN,CLE,02/27/2018,240,L,123,44,82,53.7,12,32,37.5,23,30,76.7,3,33,36,29,6,0,13,21,-6
649,CLE,BKN,02/27/2018,240,W,129,50,97,51.5,12,24,50.0,17,27,63.0,14,41,55,24,7,1,11,24,6
650,PHX,NOP,02/26/2018,240,L,116,42,97,43.3,7,24,29.2,25,32,78.1,14,37,51,23,9,5,14,33,-9
651,NOP,PHX,02/26/2018,240,W,125,43,91,47.3,8,28,28.6,31,40,77.5,9,37,46,30,7,8,14,22,9
652,ORL,OKC,02/26/2018,240,L,105,39,84,46.4,12,29,41.4,15,21,71.4,8,27,35,23,15,6,16,19,-7
653,OKC,ORL,02/26/2018,240,W,112,42,88,47.7,11,25,44.0,17,20,85.0,14,36,50,24,6,6,20,13,7
654,TOR,DET,02/26/2018,240,W,123,42,80,52.5,17,38,44.7,22,23,95.7,6,41,47,31,10,7,18,18,29
655,DET,TOR,02/26/2018,240,L,94,36,94,38.3,7,22,31.8,15,20,75.0,13,29,42,20,11,3,13,22,-29
656,SAC,MIN,02/26/2018,240,L,100,40,84,47.6,8,22,36.4,12,13,92.3,8,23,31,22,5,3,15,23,-18
657,MIN,SAC,02/26/2018,240,W,118,39,76,51.3,7,16,43.8,33,36,91.7,8,35,43,22,11,4,12,14,18
658,LAL,ATL,02/26/2018,240,W,123,47,90,52.2,15,33,45.5,14,19,73.7,10,49,59,28,8,6,23,23,19
659,ATL,LAL,02/26/2018,240,L,104,36,96,37.5,8,36,22.2,24,34,70.6,8,33,41,21,14,3,13,17,-19
660,IND,DAL,02/26/2018,240,L,103,41,87,47.1,5,20,25.0,16,23,69.6,9,41,50,22,6,4,12,19,-6
661,DAL,IND,02/26/2018,240,W,109,40,88,45.5,14,37,37.8,15,18,83.3,7,37,44,20,9,3,10,21,6
662,UTA,HOU,02/26/2018,240,L,85,31,71,43.7,7,29,24.1,16,22,72.7,7,32,39,21,6,4,22,19,-11
663,HOU,UTA,02/26/2018,240,W,96,34,79,43.0,9,33,27.3,19,25,76.0,9,31,40,15,15,2,16,21,11
664,BOS,MEM,02/26/2018,240,W,109,39,86,45.3,12,37,32.4,19,27,70.4,9,35,44,25,5,5,8,23,11
665,MEM,BOS,02/26/2018,240,L,98,34,78,43.6,5,23,21.7,25,32,78.1,5,35,40,27,4,2,10,22,-11
666,BKN,CHI,02/26/2018,240,W,104,40,90,44.4,16,42,38.1,8,8,100,7,41,48,31,4,9,15,20,17
667,CHI,BKN,02/26/2018,240,L,87,33,93,35.5,6,23,26.1,15,23,65.2,15,41,56,17,8,7,14,11,-17
668,NYK,GSW,02/26/2018,240,L,111,47,96,49.0,10,25,40.0,7,9,77.8,10,29,39,28,7,3,14,18,-14
669,GSW,NYK,02/26/2018,240,W,125,44,85,51.8,15,31,48.4,22,26,84.6,8,35,43,31,8,5,12,13,14
670,CHA,DET,02/25/2018,240,W,114,42,88,47.7,16,35,45.7,14,23,60.9,13,34,47,28,9,4,18,19,16
671,DET,CHA,02/25/2018,240,L,98,42,85,49.4,4,18,22.2,10,14,71.4,8,33,41,23,4,2,17,22,-16
672,WAS,PHI,02/25/2018,240,W,109,43,79,54.4,12,25,48.0,11,12,91.7,10,38,48,35,9,6,19,28,15
673,PHI,WAS,02/25/2018,240,L,94,31,86,36.0,9,33,27.3,23,31,74.2,17,26,43,24,13,3,16,16,-15
674,DEN,HOU,02/25/2018,240,L,114,44,91,48.4,10,29,34.5,16,24,66.7,12,24,36,33,13,6,13,27,-5
675,HOU,DEN,02/25/2018,240,W,119,39,77,50.6,15,35,42.9,26,32,81.3,11,31,42,18,7,3,19,23,5
676,MIL,NOP,02/25/2018,265,L,121,44,96,45.8,7,25,28.0,26,29,89.7,9,35,44,21,10,3,14,19,-2
677,NOP,MIL,02/25/2018,265,W,123,51,107,47.7,10,30,33.3,11,14,78.6,11,39,50,22,8,7,17,24,2
678,SAS,CLE,02/25/2018,240,W,110,38,86,44.2,9,19,47.4,25,32,78.1,10,34,44,22,11,9,10,12,16
679,CLE,SAS,02/25/2018,240,L,94,38,91,41.8,8,34,23.5,10,14,71.4,13,34,47,18,8,3,16,24,-16
680,MIN,CHI,02/24/2018,240,W,122,46,94,48.9,11,35,31.4,19,26,73.1,10,41,51,25,6,4,12,15,18
681,CHI,MIN,02/24/2018,240,L,104,42,90,46.7,6,23,26.1,14,20,70.0,4,38,42,21,5,9,15,20,-18
682,LAL,SAC,02/24/2018,240,W,113,41,91,45.1,17,38,44.7,14,20,70.0,12,32,44,26,5,6,12,18,5
683,SAC,LAL,02/24/2018,240,L,108,42,94,44.7,13,25,52.0,11,17,64.7,17,31,48,28,5,5,11,21,-5
684,DAL,UTA,02/24/2018,240,L,90,34,83,41.0,10,35,28.6,12,14,85.7,5,39,44,19,6,4,16,23,-7
685,UTA,DAL,02/24/2018,240,W,97,34,85,40.0,9,32,28.1,20,26,76.9,9,35,44,26,6,3,12,19,7
686,MEM,MIA,02/24/2018,240,L,89,35,80,43.8,5,11,45.5,14,17,82.4,9,31,40,16,7,3,19,22,-26
687,MIA,MEM,02/24/2018,240,W,115,41,89,46.1,12,33,36.4,21,27,77.8,14,36,50,27,15,6,10,17,26
688,PHX,POR,02/24/2018,240,L,104,39,87,44.8,11,26,42.3,15,21,71.4,6,45,51,23,5,10,16,24,-2
689,POR,PHX,02/24/2018,240,W,106,39,99,39.4,6,30,20.0,22,30,73.3,12,36,48,15,6,7,6,19,2
690,BOS,NYK,02/24/2018,240,W,121,42,93,45.2,13,33,39.4,24,28,85.7,11,34,45,21,11,5,11,15,9
691,NYK,BOS,02/24/2018,240,L,112,45,96,46.9,6,27,22.2,16,20,80.0,13,36,49,20,10,4,14,22,-9
692,GSW,OKC,02/24/2018,240,W,112,42,89,47.2,17,38,44.7,11,13,84.6,12,42,54,36,8,6,16,21,32
693,OKC,GSW,02/24/2018,240,L,80,29,88,33.0,9,34,26.5,13,21,61.9,14,29,43,19,8,3,16,17,-32
694,ORL,PHI,02/24/2018,240,L,105,38,85,44.7,13,31,41.9,16,19,84.2,6,27,33,27,7,5,13,20,-11
695,PHI,ORL,02/24/2018,240,W,116,42,81,51.9,9,27,33.3,23,27,85.2,9,36,45,31,5,4,14,16,11
696,MIA,NOP,02/23/2018,265,L,123,50,108,46.3,6,18,33.3,17,26,65.4,13,45,58,26,12,5,13,23,-1
697,NOP,MIA,02/23/2018,265,W,124,48,108,44.4,8,31,25.8,20,24,83.3,13,43,56,27,9,13,15,18,1
698,MEM,CLE,02/23/2018,240,L,89,33,84,39.3,9,24,37.5,14,18,77.8,5,32,37,22,10,4,23,25,-23
699,CLE,MEM,02/23/2018,240,W,112,40,87,46.0,11,29,37.9,21,22,95.5,7,39,46,26,13,9,18,23,23
700,TOR,MIL,02/23/2018,265,L,119,43,90,47.8,9,34,26.5,24,26,92.3,5,32,37,23,7,8,12,21,-3
701,MIL,TOR,02/23/2018,265,W,122,43,90,47.8,13,26,50.0,23,27,85.2,13,38,51,21,6,3,21,24,3
702,CHA,WAS,02/23/2018,240,W,122,44,90,48.9,17,39,43.6,17,20,85.0,13,28,41,26,7,5,9,18,17
703,WAS,CHA,02/23/2018,240,L,105,40,81,49.4,9,25,36.0,16,17,94.1,6,30,36,25,3,0,14,21,-17
704,SAS,DEN,02/23/2018,240,L,119,43,85,50.6,5,16,31.3,28,39,71.8,11,27,38,28,4,4,7,20,-3
705,DEN,SAS,02/23/2018,240,W,122,48,97,49.5,12,32,37.5,14,19,73.7,18,34,52,33,5,3,11,27,3
706,ATL,IND,02/23/2018,240,L,93,37,82,45.1,7,31,22.6,12,19,63.2,6,34,40,14,9,7,22,20,-23
707,IND,ATL,02/23/2018,240,W,116,48,101,47.5,9,28,32.1,11,13,84.6,15,42,57,30,17,3,17,20,23
708,POR,UTA,02/23/2018,240,W,100,39,87,44.8,9,24,37.5,13,14,92.9,6,35,41,14,11,5,12,20,19
709,UTA,POR,02/23/2018,240,L,81,33,78,42.3,6,25,24.0,9,11,81.8,8,35,43,15,7,6,20,13,-19
710,DET,BOS,02/23/2018,240,L,98,37,85,43.5,10,33,30.3,14,21,66.7,12,33,45,16,4,4,13,18,-12
711,BOS,DET,02/23/2018,240,W,110,41,85,48.2,17,39,43.6,11,18,61.1,10,32,42,30,8,5,11,22,12
712,HOU,MIN,02/23/2018,240,W,120,40,83,48.2,14,38,36.8,26,30,86.7,14,36,50,24,6,2,12,17,18
713,MIN,HOU,02/23/2018,240,L,102,40,94,42.6,10,26,38.5,12,16,75.0,16,27,43,19,6,3,11,22,-18
714,LAC,PHX,02/23/2018,240,W,128,45,87,51.7,14,32,43.8,24,32,75.0,8,43,51,23,5,8,18,26,11
715,PHX,LAC,02/23/2018,240,L,117,45,103,43.7,9,31,29.0,18,31,58.1,16,32,48,22,12,5,12,25,-11
716,LAL,DAL,02/23/2018,240,W,124,48,93,51.6,13,33,39.4,15,20,75.0,13,49,62,32,8,6,16,17,22
717,DAL,LAL,02/23/2018,240,L,102,37,91,40.7,19,42,45.2,9,11,81.8,3,26,29,25,9,8,11,19,-22
718,CHA,BKN,02/22/2018,240,W,111,42,87,48.3,11,21,52.4,16,20,80.0,13,41,54,29,3,6,15,15,15
719,BKN,CHA,02/22/2018,240,L,96,36,93,38.7,14,43,32.6,10,14,71.4,11,30,41,27,6,8,10,23,-15
720,OKC,SAC,02/22/2018,240,W,110,38,86,44.2,14,35,40.0,20,24,83.3,10,39,49,26,6,7,11,16,3
721,SAC,OKC,02/22/2018,240,L,107,42,91,46.2,12,27,44.4,11,15,73.3,10,34,44,23,6,4,9,20,-3
722,CLE,WAS,02/22/2018,240,L,103,42,84,50.0,8,35,22.9,11,19,57.9,6,30,36,20,5,2,13,15,-7
723,WAS,CLE,02/22/2018,240,W,110,44,92,47.8,12,30,40.0,10,10,100,9,34,43,29,9,3,11,23,7
724,NYK,ORL,02/22/2018,240,W,120,48,99,48.5,7,25,28.0,17,21,81.0,16,31,47,28,7,12,9,15,7
725,ORL,NYK,02/22/2018,240,L,113,43,83,51.8,11,24,45.8,16,23,69.6,5,34,39,28,7,5,14,15,-7
726,CHI,PHI,02/22/2018,240,L,115,44,97,45.4,18,34,52.9,9,15,60.0,11,37,48,27,5,4,14,26,-1
727,PHI,CHI,02/22/2018,240,W,116,42,82,51.2,11,29,37.9,21,35,60.0,8,33,41,25,7,5,11,17,1
728,GSW,LAC,02/22/2018,240,W,134,47,76,61.8,14,25,56.0,26,34,76.5,3,29,32,31,8,8,15,24,7
729,LAC,GSW,02/22/2018,240,L,127,44,88,50.0,11,32,34.4,28,34,82.4,8,28,36,32,9,2,15,19,-7
730,MIN,LAL,02/15/2018,240,W,119,42,90,46.7,6,24,25.0,29,31,93.5,11,35,46,23,5,10,10,22,8
731,LAL,MIN,02/15/2018,240,L,111,43,94,45.7,7,31,22.6,18,26,69.2,11,35,46,19,6,4,13,26,-8
732,DEN,MIL,02/15/2018,240,W,134,47,85,55.3,24,40,60.0,16,20,80.0,8,26,34,37,9,6,18,23,11
733,MIL,DEN,02/15/2018,240,L,123,49,92,53.3,9,26,34.6,16,22,72.7,11,29,40,27,9,5,16,20,-11
734,NOP,LAL,02/14/2018,240,W,139,53,99,53.5,14,32,43.8,19,21,90.5,12,36,48,35,13,7,12,20,22
735,LAL,NOP,02/14/2018,240,L,117,46,90,51.1,10,22,45.5,15,18,83.3,7,30,37,26,5,3,20,21,-22
736,OKC,MEM,02/14/2018,240,W,121,40,81,49.4,17,37,45.9,24,35,68.6,8,30,38,26,7,6,9,19,7
737,MEM,OKC,02/14/2018,240,L,114,44,86,51.2,14,27,51.9,12,15,80.0,6,35,41,29,6,2,12,25,-7
738,PHX,UTA,02/14/2018,240,L,97,34,79,43.0,12,29,41.4,17,24,70.8,5,36,41,19,5,6,12,25,-10
739,UTA,PHX,02/14/2018,240,W,107,39,92,42.4,10,34,29.4,19,22,86.4,14,40,54,22,6,3,9,17,10
740,GSW,POR,02/14/2018,240,L,117,43,90,47.8,13,37,35.1,18,19,94.7,8,33,41,24,8,7,16,24,-6
741,POR,GSW,02/14/2018,240,W,123,45,93,48.4,12,33,36.4,21,24,87.5,13,36,49,20,9,0,14,18,6
742,DET,ATL,02/14/2018,240,W,104,35,83,42.2,13,33,39.4,21,25,84.0,10,37,47,26,3,5,16,18,6
743,ATL,DET,02/14/2018,240,L,98,38,89,42.7,6,33,18.2,16,19,84.2,8,35,43,25,9,4,11,21,-6
744,SAC,HOU,02/14/2018,240,L,91,38,87,43.7,10,32,31.3,5,8,62.5,9,39,48,26,8,5,17,20,-9
745,HOU,SAC,02/14/2018,240,W,100,33,83,39.8,14,49,28.6,20,22,90.9,7,41,48,19,10,5,14,14,9
746,CHA,ORL,02/14/2018,240,W,104,38,88,43.2,13,30,43.3,15,19,78.9,8,37,45,26,14,4,12,15,2
747,ORL,CHA,02/14/2018,240,L,102,36,86,41.9,15,37,40.5,15,17,88.2,9,39,48,21,7,0,20,17,-2
748,LAC,BOS,02/14/2018,240,W,129,44,88,50.0,11,29,37.9,30,33,90.9,7,36,43,26,5,5,9,21,10
749,BOS,LAC,02/14/2018,240,L,119,42,97,43.3,15,31,48.4,20,21,95.2,11,35,46,24,4,7,8,31,-10
750,BKN,IND,02/14/2018,240,L,103,35,83,42.2,13,35,37.1,20,27,74.1,9,35,44,24,4,2,14,20,-5
751,IND,BKN,02/14/2018,240,W,108,39,90,43.3,6,15,40.0,24,28,85.7,15,37,52,20,10,7,8,20,5
752,NYK,WAS,02/14/2018,240,L,113,45,97,46.4,9,19,47.4,14,18,77.8,11,31,42,21,7,1,10,17,-5
753,WAS,NYK,02/14/2018,240,W,118,48,88,54.5,7,22,31.8,15,19,78.9,6,39,45,31,7,9,12,16,5
754,TOR,CHI,02/14/2018,240,W,122,48,92,52.2,14,38,36.8,12,15,80.0,5,45,50,38,5,8,8,22,24
755,CHI,TOR,02/14/2018,240,L,98,39,91,42.9,4,24,16.7,16,20,80.0,4,38,42,17,5,6,6,16,-24
756,PHI,MIA,02/14/2018,240,W,104,39,92,42.4,9,35,25.7,17,25,68.0,23,37,60,25,6,2,19,23,2
757,MIA,PHI,02/14/2018,240,L,102,35,77,45.5,11,27,40.7,21,29,72.4,3,26,29,23,9,5,11,21,-2
758,OKC,CLE,02/13/2018,240,L,112,40,90,44.4,11,35,31.4,21,30,70.0,18,33,51,23,6,3,11,20,-8
759,CLE,OKC,02/13/2018,240,W,120,45,88,51.1,16,36,44.4,14,22,63.6,10,31,41,24,6,3,7,28,8
760,MIA,TOR,02/13/2018,240,L,112,42,86,48.8,12,29,41.4,16,19,84.2,10,41,51,24,5,3,16,18,-3
761,TOR,MIA,02/13/2018,240,W,115,42,90,46.7,13,35,37.1,18,23,78.3,7,33,40,24,7,3,8,19,3
762,MIN,HOU,02/13/2018,240,L,108,40,84,47.6,6,23,26.1,22,23,95.7,9,31,40,22,3,4,9,20,-18
763,HOU,MIN,02/13/2018,240,W,126,41,83,49.4,22,47,46.8,22,29,75.9,9,28,37,25,1,4,6,23,18
764,DEN,SAS,02/13/2018,240,W,117,46,93,49.5,10,32,31.3,15,18,83.3,11,24,35,29,10,3,12,18,8
765,SAS,DEN,02/13/2018,240,L,109,44,82,53.7,6,22,27.3,15,22,68.2,10,32,42,24,6,7,19,22,-8
766,SAC,DAL,02/13/2018,240,W,114,47,87,54.0,12,29,41.4,8,12,66.7,5,33,38,30,6,4,9,19,5
767,DAL,SAC,02/13/2018,240,L,109,38,83,45.8,15,40,37.5,18,23,78.3,4,33,37,29,4,4,9,15,-5
768,MIL,ATL,02/13/2018,240,W,97,38,88,43.2,8,25,32.0,13,17,76.5,14,34,48,23,6,10,10,18,5
769,ATL,MIL,02/13/2018,240,L,92,33,86,38.4,12,35,34.3,14,20,70.0,14,36,50,21,7,6,14,14,-5
770,SAS,UTA,02/12/2018,240,L,99,38,85,44.7,6,25,24.0,17,25,68.0,8,36,44,23,5,8,11,24,-2
771,UTA,SAS,02/12/2018,240,W,101,35,84,41.7,11,24,45.8,20,30,66.7,9,34,43,15,7,5,10,24,2
772,DET,NOP,02/12/2018,240,L,103,35,95,36.8,9,35,25.7,24,32,75.0,14,40,54,18,5,3,14,19,-15
773,NOP,DET,02/12/2018,240,W,118,44,100,44.0,14,34,41.2,16,16,100,10,43,53,31,6,7,12,25,15
774,BKN,LAC,02/12/2018,240,L,101,41,89,46.1,12,40,30.0,7,10,70.0,10,27,37,27,10,6,13,15,-13
775,LAC,BKN,02/12/2018,240,W,114,48,85,56.5,6,16,37.5,12,14,85.7,8,35,43,19,8,6,15,14,13
776,ORL,CHI,02/12/2018,240,L,101,37,84,44.0,10,31,32.3,17,19,89.5,7,32,39,24,8,7,10,18,-4
777,CHI,ORL,02/12/2018,240,W,105,40,88,45.5,9,32,28.1,16,21,76.2,11,35,46,25,6,3,11,13,4
778,GSW,PHX,02/12/2018,240,W,129,52,89,58.4,11,26,42.3,14,21,66.7,7,42,49,36,8,16,12,18,46
779,PHX,GSW,02/12/2018,240,L,83,33,95,34.7,3,23,13.0,14,22,63.6,15,32,47,13,2,3,17,17,-46
780,PHI,NYK,02/12/2018,240,W,108,41,75,54.7,10,19,52.6,16,24,66.7,7,30,37,27,13,6,19,22,16
781,NYK,PHI,02/12/2018,240,L,92,31,79,39.2,6,24,25.0,24,28,85.7,7,26,33,16,5,4,19,22,-16
782,OKC,MEM,02/11/2018,240,W,110,34,77,44.2,16,37,43.2,26,40,65.0,9,29,38,21,6,3,10,23,18
783,MEM,OKC,02/11/2018,240,L,92,32,82,39.0,6,28,21.4,22,24,91.7,12,35,47,21,4,5,17,32,-18
784,CHA,TOR,02/11/2018,240,L,103,38,89,42.7,10,23,43.5,17,23,73.9,11,31,42,26,5,5,13,13,-20
785,TOR,CHA,02/11/2018,240,W,123,49,87,56.3,18,37,48.6,7,10,70.0,6,34,40,35,7,8,13,24,20
786,MIN,SAC,02/11/2018,240,W,111,37,74,50.0,9,24,37.5,28,32,87.5,8,29,37,29,10,5,17,17,5
787,SAC,MIN,02/11/2018,240,L,106,42,88,47.7,10,25,40.0,12,17,70.6,15,28,43,17,12,2,19,23,-5
788,DET,ATL,02/11/2018,240,L,115,38,83,45.8,13,33,39.4,26,33,78.8,12,28,40,30,6,4,15,28,-3
789,ATL,DET,02/11/2018,240,W,118,38,78,48.7,10,29,34.5,32,37,86.5,4,31,35,27,10,3,13,26,3
790,IND,NYK,02/11/2018,240,W,121,47,94,50.0,12,28,42.9,15,22,68.2,16,38,54,27,7,5,13,16,8
791,NYK,IND,02/11/2018,240,L,113,41,93,44.1,9,35,25.7,22,25,88.0,12,33,45,27,8,3,12,18,-8
792,UTA,POR,02/11/2018,240,W,115,41,88,46.6,13,26,50.0,20,22,90.9,16,42,58,23,8,4,13,22,19
793,POR,UTA,02/11/2018,240,L,96,33,81,40.7,9,25,36.0,21,25,84.0,6,31,37,16,7,4,13,22,-19
794,HOU,DAL,02/11/2018,240,W,104,34,78,43.6,13,45,28.9,23,33,69.7,2,40,42,15,9,7,9,18,7
795,DAL,HOU,02/11/2018,240,L,97,38,93,40.9,10,31,32.3,11,16,68.8,12,40,52,26,6,4,14,25,-7
796,CLE,BOS,02/11/2018,240,W,121,45,84,53.6,16,30,53.3,15,20,75.0,5,36,41,22,7,6,11,20,22
797,BOS,CLE,02/11/2018,240,L,99,36,89,40.4,10,38,26.3,17,22,77.3,13,30,43,22,3,4,15,14,-22
798,LAL,DAL,02/10/2018,240,L,123,46,84,54.8,16,34,47.1,15,22,68.2,9,28,37,29,7,0,17,25,-7
799,DAL,LAL,02/10/2018,240,W,130,48,89,53.9,12,27,44.4,22,27,81.5,10,30,40,32,8,3,11,21,7
800,MIL,ORL,02/10/2018,240,W,111,43,82,52.4,9,25,36.0,16,20,80.0,8,33,41,28,7,4,12,16,7
801,ORL,MIL,02/10/2018,240,L,104,37,83,44.6,8,30,26.7,22,26,84.6,10,31,41,23,7,3,12,14,-7
802,NOP,BKN,02/10/2018,290,W,138,52,106,49.1,9,24,37.5,25,39,64.1,14,45,59,23,10,10,15,18,10
803,BKN,NOP,02/10/2018,290,L,128,43,114,37.7,21,59,35.6,21,22,95.5,18,42,60,30,10,3,17,30,-10
804,DEN,PHX,02/10/2018,240,W,123,45,88,51.1,13,29,44.8,20,22,90.9,6,31,37,20,10,5,14,23,10
805,PHX,DEN,02/10/2018,240,L,113,46,84,54.8,7,19,36.8,14,25,56.0,8,28,36,24,7,9,15,24,-10
806,WAS,CHI,02/10/2018,240,W,101,38,82,46.3,13,38,34.2,12,14,85.7,6,35,41,31,8,3,14,17,11
807,CHI,WAS,02/10/2018,240,L,90,34,80,42.5,9,32,28.1,13,16,81.3,9,36,45,23,11,2,16,16,-11
808,GSW,SAS,02/10/2018,240,W,122,48,85,56.5,12,27,44.4,14,15,93.3,11,33,44,35,5,6,16,18,17
809,SAS,GSW,02/10/2018,240,L,105,43,94,45.7,5,27,18.5,14,19,73.7,11,23,34,30,8,5,10,13,-17
