,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
2143,NYK,CHA,11/17/2015,240,W,102,36,89,40.4,10,20,50.0,20,21,95.2,10,35,45,22,4,6,11,20,8
2144,GSW,TOR,11/17/2015,240,W,115,43,80,53.8,11,29,37.9,18,27,66.7,9,25,34,31,10,6,20,29,5
2145,TOR,GSW,11/17/2015,240,L,110,37,79,46.8,6,18,33.3,30,39,76.9,12,28,40,18,11,2,20,25,-5
2146,MEM,OKC,11/16/2015,240,W,122,37,84,44.0,12,17,70.6,36,39,92.3,12,22,34,23,11,4,10,22,8
2147,OKC,MEM,11/16/2015,240,L,114,41,81,50.6,10,24,41.7,22,31,71.0,12,32,44,22,7,6,19,28,-8
2148,HOU,BOS,11/16/2015,240,L,95,36,85,42.4,11,32,34.4,12,23,52.2,14,32,46,23,10,6,22,20,-16
2149,BOS,HOU,11/16/2015,240,W,111,44,93,47.3,11,36,30.6,12,17,70.6,16,33,49,27,16,3,20,22,16
2150,PHX,LAL,11/16/2015,240,W,120,45,93,48.4,11,30,36.7,19,25,76.0,18,32,50,23,13,6,11,16,19
2151,LAL,PHX,11/16/2015,240,L,101,37,77,48.1,9,20,45.0,18,20,90.0,7,30,37,12,5,2,17,23,-19
2152,IND,CHI,11/16/2015,240,L,95,35,87,40.2,9,21,42.9,16,24,66.7,11,39,50,19,4,5,13,21,-1
2153,CHI,IND,11/16/2015,240,W,96,35,86,40.7,6,15,40.0,20,32,62.5,10,38,48,26,9,9,8,20,1
2154,SAS,POR,11/16/2015,240,W,93,38,89,42.7,7,23,30.4,10,13,76.9,12,35,47,29,9,10,6,13,13
2155,POR,SAS,11/16/2015,240,L,80,31,75,41.3,7,19,36.8,11,13,84.6,4,35,39,15,4,3,12,18,-13
2156,PHI,DAL,11/16/2015,240,L,86,34,76,44.7,5,22,22.7,13,20,65.0,8,38,46,16,9,4,27,29,-6
2157,DAL,PHI,11/16/2015,240,W,92,30,76,39.5,7,24,29.2,25,30,83.3,6,33,39,16,12,2,19,23,6
2158,BOS,OKC,11/15/2015,240,W,100,39,82,47.6,9,23,39.1,13,20,65.0,12,35,47,25,12,7,18,26,15
2159,OKC,BOS,11/15/2015,240,L,85,28,77,36.4,6,25,24.0,23,29,79.3,10,24,34,18,10,6,18,20,-15
2160,CHA,POR,11/15/2015,240,W,106,41,83,49.4,9,31,29.0,15,19,78.9,7,30,37,29,6,9,12,16,12
2161,POR,CHA,11/15/2015,240,L,94,35,89,39.3,5,21,23.8,19,21,90.5,16,30,46,20,5,3,12,25,-12
2162,MIN,MEM,11/15/2015,240,L,106,41,82,50.0,5,16,31.3,19,21,90.5,9,24,33,20,10,2,12,24,-8
2163,MEM,MIN,11/15/2015,240,W,114,40,71,56.3,9,17,52.9,25,27,92.6,4,30,34,21,7,6,16,16,8
2164,SAC,TOR,11/15/2015,240,W,107,39,76,51.3,10,25,40.0,19,24,79.2,9,33,42,23,8,5,20,19,6
2165,TOR,SAC,11/15/2015,240,L,101,38,87,43.7,15,31,48.4,10,14,71.4,7,29,36,18,13,1,16,20,-6
2166,ATL,UTA,11/15/2015,240,L,96,37,76,48.7,8,22,36.4,14,17,82.4,8,25,33,26,9,5,15,16,-1
2167,UTA,ATL,11/15/2015,240,W,97,39,76,51.3,7,21,33.3,12,17,70.6,10,30,40,21,7,7,20,15,1
2168,NYK,NOP,11/15/2015,240,W,95,38,88,43.2,4,18,22.2,15,19,78.9,10,31,41,18,8,4,9,20,8
2169,NOP,NYK,11/15/2015,240,L,87,32,71,45.1,6,21,28.6,17,19,89.5,4,32,36,16,5,5,18,22,-8
2170,LAL,DET,11/15/2015,240,W,97,31,75,41.3,6,19,31.6,29,39,74.4,7,39,46,24,5,5,16,19,12
2171,DET,LAL,11/15/2015,240,L,85,35,96,36.5,7,27,25.9,8,15,53.3,12,34,46,16,7,2,12,25,-12
2172,ORL,WAS,11/14/2015,240,L,99,38,87,43.7,4,18,22.2,19,24,79.2,6,39,45,19,7,2,12,22,-9
2173,WAS,ORL,11/14/2015,240,W,108,39,83,47.0,12,29,41.4,18,26,69.2,7,42,49,29,6,6,11,23,9
2174,CLE,MIL,11/14/2015,290,L,105,37,91,40.7,14,38,36.8,17,27,63.0,14,40,54,21,6,8,21,24,-3
2175,MIL,CLE,11/14/2015,290,W,108,43,102,42.2,6,16,37.5,16,22,72.7,15,36,51,20,6,9,13,25,3
2176,HOU,DAL,11/14/2015,240,L,98,32,84,38.1,9,34,26.5,25,32,78.1,12,31,43,22,9,5,14,23,-12
2177,DAL,HOU,11/14/2015,240,W,110,43,89,48.3,8,28,28.6,16,21,76.2,8,37,45,24,6,7,11,21,12
2178,LAC,DET,11/14/2015,240,W,101,37,79,46.8,7,19,36.8,20,26,76.9,11,31,42,23,6,4,14,23,5
2179,DET,LAC,11/14/2015,240,L,96,33,74,44.6,7,27,25.9,23,35,65.7,11,31,42,15,8,2,15,23,-5
2180,DEN,PHX,11/14/2015,240,L,81,34,98,34.7,6,35,17.1,7,8,87.5,9,33,42,13,8,6,13,20,-24
2181,PHX,DEN,11/14/2015,240,W,105,37,84,44.0,11,24,45.8,20,26,76.9,10,47,57,19,4,1,20,13,24
2182,SAS,PHI,11/14/2015,240,W,92,33,85,38.8,5,16,31.3,21,25,84.0,12,42,54,23,10,7,14,9,9
2183,PHI,SAS,11/14/2015,240,L,83,33,82,40.2,8,22,36.4,9,11,81.8,6,35,41,15,7,3,15,21,-9
2184,GSW,BKN,11/14/2015,265,W,107,43,97,44.3,12,34,35.3,9,10,90.0,11,39,50,31,9,10,15,19,8
2185,BKN,GSW,11/14/2015,265,L,99,41,98,41.8,2,18,11.1,15,16,93.8,11,39,50,22,12,4,13,13,-8
2186,MEM,POR,11/13/2015,240,W,101,36,86,41.9,6,16,37.5,23,27,85.2,14,21,35,22,10,0,10,21,1
2187,POR,MEM,11/13/2015,240,L,100,33,69,47.8,8,22,36.4,26,29,89.7,10,33,43,17,5,10,22,22,-1
2188,PHI,OKC,11/13/2015,240,L,85,30,86,34.9,5,17,29.4,20,28,71.4,12,31,43,16,11,7,18,17,-17
2189,OKC,PHI,11/13/2015,240,W,102,39,97,40.2,8,25,32.0,16,21,76.2,16,39,55,20,9,13,13,19,17
2190,NOP,TOR,11/13/2015,240,L,81,30,82,36.6,7,23,30.4,14,20,70.0,10,28,38,15,10,4,15,22,-19
2191,TOR,NOP,11/13/2015,240,W,100,34,77,44.2,9,21,42.9,23,27,85.2,13,35,48,19,8,5,16,19,19
2192,DEN,HOU,11/13/2015,240,W,107,37,81,45.7,9,20,45.0,24,32,75.0,12,34,46,25,10,4,19,23,9
2193,HOU,DEN,11/13/2015,240,L,98,33,77,42.9,9,29,31.0,23,31,74.2,8,32,40,19,10,8,20,25,-9
2194,BKN,SAC,11/13/2015,240,L,109,42,89,47.2,8,21,38.1,17,21,81.0,9,35,44,24,7,4,15,24,-2
2195,SAC,BKN,11/13/2015,240,W,111,40,94,42.6,11,27,40.7,20,26,76.9,15,35,50,25,11,3,14,16,2
2196,DAL,LAL,11/13/2015,240,W,90,30,82,36.6,7,27,25.9,23,29,79.3,7,41,48,19,9,4,15,15,8
2197,LAL,DAL,11/13/2015,240,L,82,29,88,33.0,9,27,33.3,15,18,83.3,15,42,57,18,10,7,22,27,-8
2198,IND,MIN,11/13/2015,240,W,107,41,86,47.7,10,25,40.0,15,23,65.2,12,28,40,23,9,5,11,9,4
2199,MIN,IND,11/13/2015,240,L,103,42,83,50.6,7,20,35.0,12,13,92.3,8,31,39,16,5,0,16,19,-4
2200,UTA,ORL,11/13/2015,240,L,93,34,87,39.1,8,25,32.0,17,23,73.9,12,29,41,24,14,6,17,24,-9
2201,ORL,UTA,11/13/2015,240,W,102,32,76,42.1,10,27,37.0,28,31,90.3,10,35,45,20,11,11,22,20,9
2202,BOS,ATL,11/13/2015,240,W,106,42,103,40.8,11,33,33.3,11,12,91.7,17,33,50,27,10,7,10,18,13
2203,ATL,BOS,11/13/2015,240,L,93,36,76,47.4,6,20,30.0,15,20,75.0,5,30,35,26,3,2,17,14,-13
2204,CLE,NYK,11/13/2015,240,W,90,33,78,42.3,6,28,21.4,18,31,58.1,12,37,49,12,6,1,12,19,6
2205,NYK,CLE,11/13/2015,240,L,84,29,79,36.7,9,27,33.3,17,21,81.0,10,36,46,16,7,4,15,26,-6
2206,CHI,CHA,11/13/2015,240,W,102,37,84,44.0,4,16,25.0,24,31,77.4,10,47,57,27,4,6,11,16,5
2207,CHA,CHI,11/13/2015,240,L,97,36,95,37.9,15,33,45.5,10,12,83.3,9,36,45,21,9,4,7,21,-5
2208,GSW,MIN,11/12/2015,240,W,129,48,89,53.9,18,38,47.4,15,16,93.8,6,27,33,34,8,7,11,25,13
2209,MIN,GSW,11/12/2015,240,L,116,43,87,49.4,3,9,33.3,27,36,75.0,15,32,47,21,4,1,13,18,-13
2210,UTA,MIA,11/12/2015,240,L,91,34,89,38.2,4,17,23.5,19,25,76.0,11,31,42,13,10,9,10,23,-1
2211,MIA,UTA,11/12/2015,240,W,92,36,77,46.8,4,13,30.8,16,25,64.0,8,39,47,14,6,11,15,20,1
2212,LAC,PHX,11/12/2015,240,L,104,40,90,44.4,9,26,34.6,15,28,53.6,12,25,37,17,13,3,15,17,-14
2213,PHX,LAC,11/12/2015,240,W,118,44,83,53.0,14,30,46.7,16,21,76.2,9,37,46,22,10,3,21,23,14
2214,MEM,GSW,11/11/2015,240,L,84,24,70,34.3,3,15,20.0,33,36,91.7,10,31,41,15,14,5,21,26,-16
2215,GSW,MEM,11/11/2015,240,W,100,36,75,48.0,11,27,40.7,17,23,73.9,7,29,36,22,12,8,23,30,16
2216,CHA,NYK,11/11/2015,240,W,95,35,84,41.7,8,23,34.8,17,28,60.7,7,26,33,21,11,5,5,9,2
2217,NYK,CHA,11/11/2015,240,L,93,42,86,48.8,4,21,19.0,5,7,71.4,11,41,52,20,5,5,17,24,-2
2218,MIL,DEN,11/11/2015,240,L,102,42,79,53.2,10,22,45.5,8,9,88.9,8,25,33,26,8,4,17,23,-1
2219,DEN,MIL,11/11/2015,240,W,103,39,79,49.4,8,24,33.3,17,24,70.8,14,22,36,27,10,6,14,12,1
2220,DET,SAC,11/11/2015,240,L,92,34,89,38.2,9,32,28.1,15,20,75.0,14,31,45,16,10,3,16,20,-9
2221,SAC,DET,11/11/2015,240,W,101,37,74,50.0,9,16,56.3,18,24,75.0,7,39,46,20,7,2,19,20,9
2222,ATL,NOP,11/11/2015,240,W,106,42,86,48.8,10,26,38.5,12,16,75.0,8,36,44,26,10,7,13,16,8
2223,NOP,ATL,11/11/2015,240,L,98,37,83,44.6,14,29,48.3,10,15,66.7,8,32,40,21,6,0,19,21,-8
2224,LAC,DAL,11/11/2015,240,L,108,37,86,43.0,12,27,44.4,22,33,66.7,13,28,41,21,4,2,10,24,-10
2225,DAL,LAC,11/11/2015,240,W,118,42,76,55.3,11,24,45.8,23,30,76.7,8,36,44,23,8,3,14,29,10
2226,SAS,POR,11/11/2015,240,W,113,46,82,56.1,7,15,46.7,14,18,77.8,8,34,42,27,4,4,11,21,12
2227,POR,SAS,11/11/2015,240,L,101,39,88,44.3,9,22,40.9,14,23,60.9,10,26,36,26,6,3,9,15,-12
2228,BKN,HOU,11/11/2015,240,W,106,42,98,42.9,8,17,47.1,14,17,82.4,20,40,60,25,5,11,11,13,8
2229,HOU,BKN,11/11/2015,240,L,98,42,98,42.9,8,34,23.5,6,12,50.0,13,32,45,25,9,9,7,14,-8
2230,ORL,LAL,11/11/2015,240,W,101,40,100,40.0,13,28,46.4,8,12,66.7,23,31,54,22,7,4,8,19,2
2231,LAL,ORL,11/11/2015,240,L,99,39,79,49.4,7,22,31.8,14,18,77.8,7,36,43,25,5,7,14,11,-2
2232,IND,BOS,11/11/2015,240,W,102,38,79,48.1,6,17,35.3,20,31,64.5,10,31,41,20,9,6,19,28,11
2233,BOS,IND,11/11/2015,240,L,91,32,77,41.6,4,24,16.7,23,32,71.9,8,28,36,18,10,3,18,26,-11
2234,PHI,TOR,11/11/2015,240,L,103,40,87,46.0,12,29,41.4,11,17,64.7,11,26,37,28,2,7,12,24,-16
2235,TOR,PHI,11/11/2015,240,W,119,43,89,48.3,5,18,27.8,28,31,90.3,17,39,56,22,7,7,8,18,16
2236,DAL,NOP,11/10/2015,240,L,105,39,88,44.3,5,20,25.0,22,26,84.6,8,36,44,20,4,4,13,17,-15
2237,NOP,DAL,11/10/2015,240,W,120,46,92,50.0,14,33,42.4,14,18,77.8,9,39,48,25,9,5,11,27,15
2238,TOR,NYK,11/10/2015,240,L,109,37,84,44.0,4,17,23.5,31,39,79.5,14,35,49,25,7,6,12,17,-2
2239,NYK,TOR,11/10/2015,240,W,111,42,95,44.2,11,23,47.8,16,18,88.9,13,31,44,22,8,7,10,27,2
2240,WAS,OKC,11/10/2015,240,L,101,38,97,39.2,5,24,20.8,20,26,76.9,12,29,41,17,8,5,8,22,-24
2241,OKC,WAS,11/10/2015,240,W,125,44,86,51.2,15,23,65.2,22,29,75.9,10,43,53,27,4,2,13,22,24
2242,CHA,MIN,11/10/2015,240,W,104,38,78,48.7,8,26,30.8,20,27,74.1,4,30,34,18,8,5,16,20,9
2243,MIN,CHA,11/10/2015,240,L,95,36,80,45.0,9,19,47.4,14,19,73.7,10,38,48,25,6,4,22,21,-9
2244,MIL,BOS,11/10/2015,240,L,83,30,73,41.1,6,17,35.3,17,23,73.9,9,32,41,14,10,2,18,18,-16
2245,BOS,MIL,11/10/2015,240,W,99,38,86,44.2,7,30,23.3,16,19,84.2,14,31,45,21,11,6,13,18,16
2246,MIA,LAL,11/10/2015,240,W,101,38,84,45.2,5,20,25.0,20,27,74.1,15,32,47,23,7,7,12,12,13
2247,LAL,MIA,11/10/2015,240,L,88,34,77,44.2,11,22,50.0,9,12,75.0,5,31,36,21,7,7,18,21,-13
2248,UTA,CLE,11/10/2015,240,L,114,40,82,48.8,10,22,45.5,24,28,85.7,13,24,37,30,11,0,16,35,-4
2249,CLE,UTA,11/10/2015,240,W,118,37,74,50.0,11,24,45.8,33,43,76.7,11,24,35,24,9,6,17,21,4
2250,POR,DEN,11/09/2015,240,L,104,36,91,39.6,10,29,34.5,22,27,81.5,10,29,39,20,6,3,10,22,-4
2251,DEN,POR,11/09/2015,240,W,108,40,77,51.9,7,19,36.8,21,32,65.6,8,39,47,20,5,7,15,20,4
2252,SAS,SAC,11/09/2015,240,W,106,46,87,52.9,6,23,26.1,8,11,72.7,8,38,46,34,11,7,16,19,18
2253,SAC,SAS,11/09/2015,240,L,88,34,84,40.5,7,19,36.8,13,19,68.4,11,31,42,25,10,5,19,14,-18
2254,ATL,MIN,11/09/2015,240,L,107,44,86,51.2,13,31,41.9,6,7,85.7,4,23,27,30,13,6,17,19,-10
2255,MIN,ATL,11/09/2015,240,W,117,46,80,57.5,7,15,46.7,18,22,81.8,8,32,40,27,10,5,19,18,10
2256,ORL,IND,11/09/2015,240,L,84,31,78,39.7,10,33,30.3,12,17,70.6,7,37,44,16,9,3,22,20,-13
2257,IND,ORL,11/09/2015,240,W,97,34,77,44.2,11,25,44.0,18,22,81.8,6,36,42,25,12,4,18,16,13
2258,LAC,MEM,11/09/2015,240,W,94,28,68,41.2,5,19,26.3,33,37,89.2,8,32,40,14,5,8,18,20,2
2259,MEM,LAC,11/09/2015,240,L,92,35,80,43.8,2,11,18.2,20,29,69.0,10,30,40,21,11,3,14,28,-2
2260,GSW,DET,11/09/2015,240,W,109,43,91,47.3,12,21,57.1,11,13,84.6,13,28,41,29,13,4,16,18,14
2261,DET,GSW,11/09/2015,240,L,95,40,85,47.1,6,19,31.6,9,15,60.0,12,29,41,15,9,3,20,14,-14
2262,PHI,CHI,11/09/2015,240,L,88,35,100,35.0,5,25,20.0,13,23,56.5,15,37,52,19,6,9,17,13,-23
2263,CHI,PHI,11/09/2015,240,W,111,41,96,42.7,10,25,40.0,19,23,82.6,13,45,58,28,6,10,14,19,23
2264,PHX,OKC,11/08/2015,240,L,103,38,84,45.2,7,16,43.8,20,26,76.9,7,26,33,18,7,1,23,25,-21
2265,OKC,PHX,11/08/2015,240,W,124,49,94,52.1,4,20,20.0,22,30,73.3,17,35,52,26,14,8,15,25,21
2266,POR,DET,11/08/2015,240,L,103,41,76,53.9,9,25,36.0,12,18,66.7,7,33,40,24,5,2,23,22,-17
2267,DET,POR,11/08/2015,240,W,120,47,96,49.0,11,30,36.7,15,22,68.2,18,28,46,16,13,5,9,16,17
2268,TOR,MIA,11/08/2015,240,L,76,28,71,39.4,3,19,15.8,17,22,77.3,7,31,38,17,8,5,18,21,-20
2269,MIA,TOR,11/08/2015,240,W,96,35,83,42.2,8,20,40.0,18,25,72.0,13,35,48,18,8,8,11,20,20
2270,CLE,IND,11/08/2015,240,W,101,38,83,45.8,8,24,33.3,17,25,68.0,11,37,48,25,5,4,10,20,4
2271,IND,CLE,11/08/2015,240,L,97,39,90,43.3,6,18,33.3,13,19,68.4,12,35,47,22,5,4,7,20,-4
2272,NYK,LAL,11/08/2015,240,W,99,33,84,39.3,9,27,33.3,24,29,82.8,10,42,52,22,5,5,9,15,4
2273,LAL,NYK,11/08/2015,240,L,95,36,94,38.3,9,27,33.3,14,23,60.9,12,34,46,19,7,3,10,20,-4
2274,GSW,SAC,11/07/2015,240,W,103,38,92,41.3,8,39,20.5,19,22,86.4,15,31,46,27,13,2,18,15,9
2275,SAC,GSW,11/07/2015,240,L,94,38,87,43.7,6,19,31.6,12,16,75.0,13,32,45,26,9,3,22,19,-9
2276,WAS,ATL,11/07/2015,240,L,99,38,78,48.7,8,24,33.3,15,17,88.2,8,33,41,27,11,3,25,18,-15
2277,ATL,WAS,11/07/2015,240,W,114,43,92,46.7,13,33,39.4,15,15,100,10,29,39,37,12,4,14,15,15
2278,DAL,NOP,11/07/2015,240,W,107,40,84,47.6,9,24,37.5,18,22,81.8,6,36,42,20,5,2,11,17,9
2279,NOP,DAL,11/07/2015,240,L,98,39,86,45.3,9,28,32.1,11,13,84.6,7,35,42,21,7,6,12,24,-9
2280,BKN,MIL,11/07/2015,240,L,86,34,82,41.5,3,9,33.3,15,19,78.9,17,35,52,18,11,3,18,18,-8
2281,MIL,BKN,11/07/2015,240,W,94,37,82,45.1,8,20,40.0,12,16,75.0,10,31,41,27,9,6,17,16,8
2282,UTA,MEM,11/07/2015,240,W,89,31,74,41.9,12,27,44.4,15,18,83.3,9,40,49,18,7,10,21,20,10
2283,MEM,UTA,11/07/2015,240,L,79,30,91,33.0,6,19,31.6,13,14,92.9,13,31,44,16,8,1,14,21,-10
2284,LAC,HOU,11/07/2015,240,L,105,42,88,47.7,4,22,18.2,17,25,68.0,11,30,41,29,8,5,12,23,-4
2285,HOU,LAC,11/07/2015,240,W,109,38,86,44.2,7,30,23.3,26,29,89.7,11,36,47,16,7,3,14,27,4
2286,MIN,CHI,11/07/2015,265,W,102,39,96,40.6,7,16,43.8,17,27,63.0,14,44,58,26,8,7,15,23,9
2287,CHI,MIN,11/07/2015,265,L,93,33,93,35.5,11,32,34.4,16,23,69.6,10,40,50,20,7,6,19,26,-9
2288,SAS,CHA,11/07/2015,240,W,114,45,81,55.6,9,21,42.9,15,23,65.2,6,36,42,35,11,3,13,26,20
2289,CHA,SAS,11/07/2015,240,L,94,34,73,46.6,6,19,31.6,20,31,64.5,6,27,33,15,7,0,15,18,-20
2290,ORL,PHI,11/07/2015,240,W,105,39,83,47.0,6,13,46.2,21,24,87.5,10,31,41,24,10,7,13,23,8
2291,PHI,ORL,11/07/2015,240,L,97,36,80,45.0,11,33,33.3,14,26,53.8,10,28,38,24,6,10,17,20,-8
2292,ATL,NOP,11/06/2015,240,W,121,41,77,53.2,9,21,42.9,30,35,85.7,6,35,41,30,10,6,15,21,6
2293,NOP,ATL,11/06/2015,240,L,115,42,84,50.0,10,30,33.3,21,24,87.5,6,26,32,30,9,7,13,24,-6
2294,SAC,HOU,11/06/2015,240,L,110,40,93,43.0,9,28,32.1,21,29,72.4,14,29,43,26,14,3,15,19,-6
2295,HOU,SAC,11/06/2015,240,W,116,40,82,48.8,15,36,41.7,21,27,77.8,14,35,49,23,8,4,22,26,6
2296,MIA,IND,11/06/2015,240,L,87,36,81,44.4,6,20,30.0,9,13,69.2,7,33,40,21,5,6,12,19,-3
2297,IND,MIA,11/06/2015,240,W,90,36,80,45.0,5,15,33.3,13,24,54.2,9,34,43,21,4,5,12,15,3
2298,CLE,PHI,11/06/2015,240,W,108,45,88,51.1,10,26,38.5,8,12,66.7,11,34,45,29,9,0,17,20,6
2299,PHI,CLE,11/06/2015,240,L,102,41,79,51.9,10,23,43.5,10,15,66.7,7,31,38,23,9,4,16,18,-6
2300,ORL,TOR,11/06/2015,240,W,92,33,77,42.9,9,25,36.0,17,22,77.3,6,34,40,22,4,4,13,25,5
2301,TOR,ORL,11/06/2015,240,L,87,30,86,34.9,5,23,21.7,22,29,75.9,15,29,44,13,5,5,10,18,-5
2302,BOS,WAS,11/06/2015,240,W,118,44,97,45.4,12,30,40.0,18,23,78.3,15,38,53,24,18,5,17,21,20
2303,WAS,BOS,11/06/2015,240,L,98,36,88,40.9,8,25,32.0,18,23,78.3,10,35,45,23,10,8,24,27,-20
2304,LAL,BKN,11/06/2015,240,W,104,33,78,42.3,7,23,30.4,31,40,77.5,5,35,40,14,9,6,16,22,6
2305,BKN,LAL,11/06/2015,240,L,98,40,93,43.0,3,19,15.8,15,20,75.0,14,32,46,21,6,6,16,29,-6
2306,PHX,DET,11/06/2015,240,L,92,37,92,40.2,10,30,33.3,8,13,61.5,11,35,46,14,8,3,16,29,-8
2307,DET,PHX,11/06/2015,240,W,100,37,74,50.0,8,22,36.4,18,36,50.0,6,41,47,15,8,3,16,21,8
2308,NYK,MIL,11/06/2015,240,L,92,33,81,40.7,4,24,16.7,22,28,78.6,14,29,43,20,3,5,18,22,-7
2309,MIL,NYK,11/06/2015,240,W,99,35,81,43.2,3,14,21.4,26,29,89.7,13,28,41,21,6,5,12,24,7
2310,GSW,DEN,11/06/2015,240,W,119,46,93,49.5,17,37,45.9,10,18,55.6,13,40,53,40,10,6,20,22,15
2311,DEN,GSW,11/06/2015,240,L,104,39,92,42.4,8,24,33.3,18,22,81.8,10,34,44,23,13,5,19,20,-15
2312,MIN,MIA,11/05/2015,240,L,84,30,85,35.3,4,12,33.3,20,22,90.9,10,34,44,16,7,6,16,27,-12
2313,MIA,MIN,11/05/2015,240,W,96,37,76,48.7,4,14,28.6,18,25,72.0,7,35,42,14,6,6,16,19,12
2314,UTA,DEN,11/05/2015,240,W,96,37,85,43.5,11,24,45.8,11,17,64.7,12,31,43,23,6,6,11,26,12
2315,DEN,UTA,11/05/2015,240,L,84,28,72,38.9,5,20,25.0,23,34,67.6,11,34,45,16,4,6,14,14,-12
2316,DAL,CHA,11/05/2015,240,L,94,32,82,39.0,6,29,20.7,24,27,88.9,8,36,44,17,8,2,13,13,-14
2317,CHA,DAL,11/05/2015,240,W,108,44,89,49.4,6,27,22.2,14,17,82.4,8,40,48,19,8,6,11,25,14
2318,POR,MEM,11/05/2015,240,W,115,44,87,50.6,15,30,50.0,12,20,60.0,14,33,47,29,3,3,9,19,19
2319,MEM,POR,11/05/2015,240,L,96,37,77,48.1,7,20,35.0,15,21,71.4,7,29,36,20,4,5,10,14,-19
2320,OKC,CHI,11/05/2015,240,L,98,38,84,45.2,5,13,38.5,17,20,85.0,9,35,44,21,2,8,9,18,-6
2321,CHI,OKC,11/05/2015,240,W,104,40,90,44.4,7,18,38.9,17,21,81.0,11,36,47,20,3,7,6,17,6
2322,TOR,OKC,11/04/2015,240,W,103,33,79,41.8,5,14,35.7,32,39,82.1,12,33,45,12,14,3,15,16,5
2323,OKC,TOR,11/04/2015,240,L,98,39,82,47.6,8,23,34.8,12,14,85.7,11,30,41,26,8,10,19,29,-5
2324,WAS,SAS,11/04/2015,240,W,102,42,87,48.3,8,23,34.8,10,14,71.4,4,29,33,27,11,3,10,19,3
2325,SAS,WAS,11/04/2015,240,L,99,37,81,45.7,7,22,31.8,18,20,90.0,9,40,49,21,5,3,21,21,-3
2326,BKN,ATL,11/04/2015,240,L,87,36,83,43.4,5,21,23.8,10,13,76.9,14,29,43,24,9,4,19,19,-14
2327,ATL,BKN,11/04/2015,240,W,101,37,76,48.7,8,22,36.4,19,24,79.2,6,28,34,27,15,10,15,17,14
2328,IND,BOS,11/04/2015,240,W,100,35,91,38.5,8,23,34.8,22,29,75.9,21,32,53,18,10,1,14,20,2
2329,BOS,IND,11/04/2015,240,L,98,35,83,42.2,10,27,37.0,18,22,81.8,15,34,49,20,7,5,19,22,-2
2330,MIL,PHI,11/04/2015,240,W,91,35,86,40.7,8,23,34.8,13,17,76.5,8,28,36,24,6,4,10,19,4
2331,PHI,MIL,11/04/2015,240,L,87,34,81,42.0,6,28,21.4,13,15,86.7,12,39,51,23,4,9,19,23,-4
2332,POR,UTA,11/04/2015,240,W,108,41,77,53.2,11,25,44.0,15,32,46.9,13,35,48,11,5,7,19,25,16
2333,UTA,POR,11/04/2015,240,L,92,33,88,37.5,5,24,20.8,21,33,63.6,16,24,40,9,12,8,9,22,-16
2334,ORL,HOU,11/04/2015,265,L,114,46,91,50.5,7,20,35.0,15,19,78.9,9,29,38,28,12,6,16,25,-5
2335,HOU,ORL,11/04/2015,265,W,119,42,88,47.7,11,34,32.4,24,34,70.6,16,32,48,28,8,1,20,20,5
2336,NYK,CLE,11/04/2015,240,L,86,33,84,39.3,8,24,33.3,12,15,80.0,9,31,40,16,6,7,13,23,-10
2337,CLE,NYK,11/04/2015,240,W,96,33,83,39.8,7,27,25.9,23,32,71.9,9,39,48,21,5,2,13,12,10
2338,SAC,PHX,11/04/2015,240,L,97,40,84,47.6,11,24,45.8,6,12,50.0,7,26,33,25,9,4,19,22,-21
2339,PHX,SAC,11/04/2015,240,W,118,45,83,54.2,14,23,60.9,14,22,63.6,9,32,41,27,14,4,20,11,21
2340,GSW,LAC,11/04/2015,240,W,112,39,85,45.9,10,26,38.5,24,31,77.4,9,33,42,28,6,5,12,22,4
2341,LAC,GSW,11/04/2015,240,L,108,43,88,48.9,8,22,36.4,14,22,63.6,10,31,41,24,6,4,13,26,-4
2342,ORL,NOP,11/03/2015,240,W,103,42,90,46.7,7,18,38.9,12,12,100,10,45,55,24,5,3,18,18,9
2343,NOP,ORL,11/03/2015,240,L,94,32,90,35.6,12,36,33.3,18,25,72.0,10,36,46,23,12,9,14,14,-9
2344,CHI,CHA,11/03/2015,240,L,105,44,90,48.9,14,30,46.7,3,8,37.5,4,29,33,26,5,0,13,19,-25
2345,CHA,CHI,11/03/2015,240,W,130,47,91,51.6,14,23,60.9,22,23,95.7,12,40,52,26,6,4,10,11,25
2346,MEM,SAC,11/03/2015,240,W,103,40,83,48.2,3,20,15.0,20,25,80.0,12,38,50,23,5,7,17,31,14
2347,SAC,MEM,11/03/2015,240,L,89,29,74,39.2,7,20,35.0,24,40,60.0,8,27,35,17,8,1,14,21,-14
2348,TOR,DAL,11/03/2015,240,W,102,37,82,45.1,5,17,29.4,23,26,88.5,10,37,47,18,8,6,16,26,11
2349,DAL,TOR,11/03/2015,240,L,91,33,86,38.4,7,23,30.4,18,25,72.0,14,30,44,20,5,3,16,25,-11
2350,IND,DET,11/03/2015,240,W,94,38,88,43.2,7,23,30.4,11,12,91.7,12,30,42,21,15,5,16,19,12
2351,DET,IND,11/03/2015,240,L,82,33,86,38.4,5,22,22.7,11,17,64.7,19,31,50,14,8,5,23,21,-12
