,team,opponent,date,min,win_or_lose,score,FGM,FGA,FG%,FG3M,FG3A,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
527,MIL,SAC,02/10/2020,240,W,123,43,96,44.8,18,42,42.9,19,23,82.6,8,47,55,26,7,5,13,18,12
528,CHA,DET,02/10/2020,240,W,87,33,88,37.5,9,36,25.0,12,14,85.7,13,32,45,19,10,3,12,15,11
529,DET,CHA,02/10/2020,240,L,76,29,82,35.4,7,35,20.0,11,13,84.6,19,33,52,21,4,5,21,18,-11
530,ATL,ORL,02/10/2020,240,L,126,47,88,53.4,16,37,43.2,16,17,94.1,4,27,31,33,5,5,12,18,-9
531,ORL,ATL,02/10/2020,240,W,135,50,95,52.6,18,38,47.4,17,22,77.3,14,31,45,33,9,5,11,14,9
532,LAL,PHX,02/10/2020,240,W,125,47,91,51.6,14,37,37.8,17,25,68.0,16,43,59,28,8,4,16,22,25
533,PHX,LAL,02/10/2020,240,L,100,32,76,42.1,11,31,35.5,25,31,80.6,3,26,29,26,7,2,13,19,-25
534,GSW,MIA,02/10/2020,240,L,101,30,77,39.0,11,34,32.4,30,34,88.2,6,34,40,23,8,2,16,21,-12
535,MIA,GSW,02/10/2020,240,W,113,43,87,49.4,12,33,36.4,15,21,71.4,7,38,45,36,10,3,12,19,12
536,BOS,OKC,02/09/2020,240,W,112,38,84,45.2,16,36,44.4,20,27,74.1,14,39,53,19,6,2,9,24,1
537,OKC,BOS,02/09/2020,240,L,111,39,86,45.3,11,27,40.7,22,29,75.9,12,32,44,14,3,3,10,21,-1
538,WAS,MEM,02/09/2020,240,L,99,35,100,35.0,7,33,21.2,22,29,75.9,9,41,50,25,7,4,7,22,-7
539,MEM,WAS,02/09/2020,240,W,106,43,102,42.2,5,32,15.6,15,25,60.0,13,49,62,19,4,4,15,23,7
540,NYK,ATL,02/09/2020,290,L,135,52,110,47.3,13,34,38.2,18,25,72.0,15,41,56,30,12,6,18,29,-5
541,ATL,NYK,02/09/2020,290,W,140,49,108,45.4,14,40,35.0,28,31,90.3,11,39,50,29,9,8,15,24,5
542,POR,MIA,02/09/2020,240,W,115,40,85,47.1,19,42,45.2,16,22,72.7,5,38,43,20,9,6,14,22,6
543,MIA,POR,02/09/2020,240,L,109,39,98,39.8,20,49,40.8,11,14,78.6,13,36,49,31,6,5,13,22,-6
544,HOU,UTA,02/09/2020,240,L,113,44,95,46.3,15,42,35.7,10,14,71.4,7,29,36,20,10,5,8,19,-1
545,UTA,HOU,02/09/2020,240,W,114,42,86,48.8,15,38,39.5,15,18,83.3,10,38,48,25,2,4,16,14,1
546,CLE,LAC,02/09/2020,240,L,92,35,95,36.8,7,33,21.2,15,22,68.2,16,29,45,22,9,1,16,17,-41
547,LAC,CLE,02/09/2020,240,W,133,53,93,57.0,12,36,33.3,15,20,75.0,10,42,52,28,11,6,12,21,41
548,PHI,CHI,02/09/2020,240,W,118,42,84,50.0,11,27,40.7,23,32,71.9,15,29,44,29,12,6,16,18,7
549,CHI,PHI,02/09/2020,240,L,111,43,88,48.9,12,32,37.5,13,17,76.5,14,28,42,23,8,3,18,24,-7
550,TOR,BKN,02/08/2020,240,W,119,45,95,47.4,14,35,40.0,15,21,71.4,13,35,48,22,6,5,7,22,1
551,BKN,TOR,02/08/2020,240,L,118,41,92,44.6,16,44,36.4,20,24,83.3,13,33,46,27,5,5,9,16,-1
552,LAC,MIN,02/08/2020,240,L,115,41,86,47.7,9,26,34.6,24,29,82.8,8,35,43,24,8,5,15,17,-27
553,MIN,LAC,02/08/2020,240,W,142,52,95,54.7,26,44,59.1,12,18,66.7,9,37,46,39,8,3,13,21,27
554,CHA,DAL,02/08/2020,240,L,100,38,87,43.7,11,36,30.6,13,18,72.2,12,27,39,15,5,4,11,13,-16
555,DAL,CHA,02/08/2020,240,W,116,44,87,50.6,17,35,48.6,11,11,100,11,35,46,29,5,6,12,18,16
556,SAS,SAC,02/08/2020,240,L,102,41,81,50.6,7,24,29.2,13,18,72.2,8,33,41,23,7,4,15,22,-20
557,SAC,SAS,02/08/2020,240,W,122,45,86,52.3,19,35,54.3,13,20,65.0,8,31,39,25,6,2,11,16,20
558,IND,NOP,02/08/2020,240,L,117,44,83,53.0,9,26,34.6,20,27,74.1,2,35,37,25,5,9,14,25,-7
559,NOP,IND,02/08/2020,240,W,124,44,95,46.3,15,38,39.5,21,25,84.0,16,37,53,27,8,2,15,24,7
560,DET,NYK,02/08/2020,240,L,92,34,69,49.3,13,29,44.8,11,16,68.8,3,25,28,21,5,7,16,19,-3
561,NYK,DET,02/08/2020,240,W,95,38,85,44.7,8,22,36.4,11,17,64.7,16,31,47,24,5,6,15,21,3
562,MIL,ORL,02/08/2020,240,W,111,42,93,45.2,15,39,38.5,12,16,75.0,10,52,62,26,4,5,16,11,16
563,ORL,MIL,02/08/2020,240,L,95,37,98,37.8,10,40,25.0,11,14,78.6,10,36,46,28,10,6,9,15,-16
564,PHX,DEN,02/08/2020,240,L,108,38,87,43.7,9,32,28.1,23,23,100,11,30,41,25,7,4,14,18,-9
565,DEN,PHX,02/08/2020,240,W,117,45,82,54.9,11,28,39.3,16,21,76.2,8,32,40,23,7,7,14,22,9
566,GSW,LAL,02/08/2020,240,L,120,46,89,51.7,13,32,40.6,15,23,65.2,8,25,33,31,15,6,18,27,-5
567,LAL,GSW,02/08/2020,240,W,125,43,82,52.4,14,29,48.3,25,34,73.5,12,35,47,29,11,2,24,22,5
568,DET,OKC,02/07/2020,240,L,101,38,89,42.7,11,38,28.9,14,19,73.7,14,23,37,19,7,1,11,23,-7
569,OKC,DET,02/07/2020,240,W,108,39,76,51.3,5,23,21.7,25,30,83.3,9,33,42,21,4,6,12,23,7
570,DAL,WAS,02/07/2020,240,L,118,42,91,46.2,16,40,40.0,18,21,85.7,15,34,49,27,7,2,14,21,-1
571,WAS,DAL,02/07/2020,240,W,119,45,90,50.0,19,38,50.0,10,13,76.9,8,31,39,28,8,4,13,19,1
572,SAC,MIA,02/07/2020,240,W,105,40,82,48.8,19,44,43.2,6,12,50.0,6,30,36,29,8,3,14,24,8
573,MIA,SAC,02/07/2020,240,L,97,34,77,44.2,12,40,30.0,17,25,68.0,7,35,42,21,7,5,20,16,-8
574,TOR,IND,02/07/2020,240,W,115,42,88,47.7,17,38,44.7,14,17,82.4,8,31,39,28,12,3,16,22,9
575,IND,TOR,02/07/2020,240,L,106,39,86,45.3,10,34,29.4,18,22,81.8,11,36,47,26,5,5,20,18,-9
576,POR,UTA,02/07/2020,240,L,114,44,97,45.4,17,40,42.5,9,14,64.3,10,33,43,14,9,4,9,18,-3
577,UTA,POR,02/07/2020,240,W,117,45,91,49.5,10,30,33.3,17,24,70.8,13,43,56,21,6,2,15,19,3
578,BOS,ATL,02/07/2020,240,W,112,37,86,43.0,16,37,43.2,22,27,81.5,11,36,47,23,5,8,13,18,5
579,ATL,BOS,02/07/2020,240,L,107,35,86,40.7,13,39,33.3,24,26,92.3,12,34,46,21,7,8,14,21,-5
580,PHX,HOU,02/07/2020,240,W,127,43,77,55.8,15,31,48.4,26,27,96.3,10,41,51,29,10,9,23,15,36
581,HOU,PHX,02/07/2020,240,L,91,29,85,34.1,11,48,22.9,22,26,84.6,8,21,29,16,8,5,16,21,-36
582,PHI,MEM,02/07/2020,240,W,119,48,90,53.3,14,25,56.0,9,15,60.0,10,40,50,34,8,11,21,25,12
583,MEM,PHI,02/07/2020,240,L,107,38,93,40.9,5,21,23.8,26,31,83.9,9,31,40,25,13,6,14,15,-12
584,PHI,MIL,02/06/2020,240,L,101,37,99,37.4,19,45,42.2,8,14,57.1,11,39,50,24,7,4,11,14,-11
585,MIL,PHI,02/06/2020,240,W,112,44,94,46.8,12,37,32.4,12,18,66.7,9,51,60,19,3,8,14,18,11
586,POR,SAS,02/06/2020,240,W,125,49,92,53.3,18,37,48.6,9,12,75.0,9,41,50,28,2,6,12,19,8
587,SAS,POR,02/06/2020,240,L,117,41,92,44.6,10,28,35.7,25,28,89.3,8,31,39,25,9,3,4,10,-8
588,ORL,NYK,02/06/2020,240,L,103,34,75,45.3,9,31,29.0,26,30,86.7,7,32,39,22,8,9,21,20,-2
589,NYK,ORL,02/06/2020,240,W,105,43,92,46.7,6,20,30.0,13,19,68.4,10,29,39,27,12,5,14,23,2
590,NOP,CHI,02/06/2020,240,W,125,49,87,56.3,16,38,42.1,11,19,57.9,9,36,45,38,12,7,21,20,6
591,CHI,NOP,02/06/2020,240,L,119,46,93,49.5,13,29,44.8,14,23,60.9,11,29,40,25,11,1,16,16,-6
592,HOU,LAL,02/06/2020,240,W,121,43,85,50.6,19,42,45.2,16,18,88.9,6,31,37,20,8,4,16,22,10
593,LAL,HOU,02/06/2020,240,L,111,45,91,49.5,9,31,29.0,12,16,75.0,6,32,38,33,10,4,16,18,-10
594,CLE,OKC,02/05/2020,240,L,103,41,89,46.1,15,38,39.5,6,11,54.5,9,36,45,31,4,2,20,24,-6
595,OKC,CLE,02/05/2020,240,W,109,38,81,46.9,9,26,34.6,24,30,80.0,5,35,40,21,9,6,12,15,6
596,IND,TOR,02/05/2020,240,L,118,43,82,52.4,19,39,48.7,13,16,81.3,8,34,42,29,6,5,19,18,-1
597,TOR,IND,02/05/2020,240,W,119,43,86,50.0,12,32,37.5,21,24,87.5,7,30,37,27,12,0,10,17,1
598,MIN,ATL,02/05/2020,240,L,120,45,91,49.5,9,35,25.7,21,28,75.0,6,27,33,18,13,7,17,21,-7
599,ATL,MIN,02/05/2020,240,W,127,43,82,52.4,13,32,40.6,28,30,93.3,7,37,44,23,7,4,21,22,7
600,DAL,MEM,02/05/2020,240,L,107,34,94,36.2,17,43,39.5,22,24,91.7,12,30,42,19,5,6,9,18,-14
601,MEM,DAL,02/05/2020,240,W,121,47,89,52.8,12,25,48.0,15,20,75.0,10,42,52,27,6,4,11,24,14
602,DEN,UTA,02/05/2020,240,W,98,39,90,43.3,7,30,23.3,13,18,72.2,13,39,52,23,8,5,11,17,3
603,UTA,DEN,02/05/2020,240,L,95,36,86,41.9,14,39,35.9,9,14,64.3,7,39,46,20,5,1,14,16,-3
604,DET,PHX,02/05/2020,240,W,116,46,95,48.4,12,28,42.9,12,16,75.0,14,28,42,31,9,2,9,15,8
605,PHX,DET,02/05/2020,240,L,108,42,77,54.5,12,26,46.2,12,15,80.0,7,30,37,29,4,5,16,21,-8
606,MIA,LAC,02/05/2020,240,L,111,40,93,43.0,16,42,38.1,15,21,71.4,10,36,46,29,7,2,9,16,-17
607,LAC,MIA,02/05/2020,240,W,128,45,89,50.6,24,54,44.4,14,19,73.7,8,43,51,35,6,5,14,21,17
608,BOS,ORL,02/05/2020,240,W,116,46,86,53.5,13,23,56.5,11,16,68.8,6,35,41,23,10,6,13,19,16
609,ORL,BOS,02/05/2020,240,L,100,32,75,42.7,13,31,41.9,23,30,76.7,9,30,39,20,10,6,17,13,-16
610,BKN,GSW,02/05/2020,240,W,129,51,100,51.0,14,34,41.2,13,15,86.7,14,51,65,29,4,1,15,15,41
611,GSW,BKN,02/05/2020,240,L,88,35,96,36.5,5,39,12.8,13,18,72.2,7,27,34,20,6,7,7,14,-41
612,MIL,NOP,02/04/2020,240,W,120,48,102,47.1,11,36,30.6,13,17,76.5,8,45,53,34,11,7,17,19,12
613,NOP,MIL,02/04/2020,240,L,108,38,99,38.4,14,49,28.6,18,24,75.0,8,41,49,26,10,6,17,17,-12
614,DEN,POR,02/04/2020,240,W,127,46,90,51.1,17,34,50.0,18,25,72.0,12,38,50,30,5,7,14,22,28
615,POR,DEN,02/04/2020,240,L,99,36,91,39.6,9,31,29.0,18,22,81.8,9,27,36,16,5,6,9,22,-28
616,HOU,CHA,02/04/2020,240,W,125,43,97,44.3,20,60,33.3,19,23,82.6,7,34,41,25,11,5,5,19,15
617,CHA,HOU,02/04/2020,240,L,110,39,83,47.0,13,33,39.4,19,24,79.2,12,41,53,22,2,2,17,18,-15
618,LAL,SAS,02/04/2020,240,W,129,50,85,58.8,12,28,42.9,17,25,68.0,12,46,58,28,5,4,14,15,27
619,SAS,LAL,02/04/2020,240,L,102,40,91,44.0,13,27,48.1,9,15,60.0,7,21,28,21,6,2,6,16,-27
620,DET,MEM,02/03/2020,240,L,82,34,98,34.7,8,26,30.8,6,9,66.7,16,35,51,21,6,2,16,13,-14
621,MEM,DET,02/03/2020,240,W,96,42,90,46.7,2,17,11.8,10,12,83.3,7,40,47,27,6,12,11,18,14
622,WAS,GSW,02/03/2020,240,L,117,42,83,50.6,9,22,40.9,24,29,82.8,2,33,35,28,6,4,11,24,-8
623,GSW,WAS,02/03/2020,240,W,125,43,87,49.4,15,30,50.0,24,31,77.4,12,32,44,31,8,6,14,25,8
624,CHA,ORL,02/03/2020,240,L,100,41,89,46.1,9,31,29.0,9,14,64.3,15,31,46,24,8,2,12,16,-12
625,ORL,CHA,02/03/2020,240,W,112,43,80,53.8,16,34,47.1,10,17,58.8,8,29,37,35,7,3,10,12,12
626,SAC,MIN,02/03/2020,240,W,113,38,75,50.7,14,27,51.9,23,31,74.2,7,27,34,26,7,7,17,20,4
627,MIN,SAC,02/03/2020,240,L,109,37,85,43.5,13,38,34.2,22,28,78.6,14,31,45,25,12,6,16,25,-4
628,BOS,ATL,02/03/2020,240,W,123,48,90,53.3,12,29,41.4,15,17,88.2,11,33,44,21,10,5,15,22,8
629,ATL,BOS,02/03/2020,240,L,115,42,84,50.0,12,30,40.0,19,21,90.5,6,26,32,22,9,6,17,19,-8
630,DAL,IND,02/03/2020,240,W,112,36,86,41.9,18,45,40.0,22,23,95.7,12,39,51,20,3,2,12,15,9
631,IND,DAL,02/03/2020,240,L,103,44,96,45.8,7,34,20.6,8,11,72.7,8,32,40,28,7,6,4,18,-9
632,MIA,PHI,02/03/2020,240,W,137,48,85,56.5,16,32,50.0,25,30,83.3,6,29,35,27,8,1,3,18,31
633,PHI,MIA,02/03/2020,240,L,106,36,83,43.4,13,38,34.2,21,25,84.0,14,30,44,24,3,1,14,21,-31
634,NYK,CLE,02/03/2020,265,W,139,57,102,55.9,10,26,38.5,15,21,71.4,12,34,46,33,11,1,12,18,5
635,CLE,NYK,02/03/2020,265,L,134,52,92,56.5,18,35,51.4,12,18,66.7,5,29,34,34,6,3,15,18,-5
636,LAC,SAS,02/03/2020,240,W,108,39,84,46.4,11,27,40.7,19,24,79.2,5,46,51,28,3,2,12,18,3
637,SAS,LAC,02/03/2020,240,L,105,40,95,42.1,12,37,32.4,13,16,81.3,6,40,46,21,5,9,8,20,-3
638,BKN,PHX,02/03/2020,240,W,119,43,89,48.3,15,34,44.1,18,21,85.7,10,34,44,28,8,5,17,26,22
639,PHX,BKN,02/03/2020,240,L,97,39,90,43.3,6,17,35.3,13,18,72.2,14,29,43,23,7,6,16,21,-22
640,TOR,CHI,02/02/2020,240,W,129,47,84,56.0,16,34,47.1,19,23,82.6,12,34,46,28,6,5,15,18,27
641,CHI,TOR,02/02/2020,240,L,102,35,90,38.9,15,48,31.3,17,26,65.4,17,24,41,25,10,0,16,21,-27
642,PHX,MIL,02/02/2020,240,L,108,41,104,39.4,6,23,26.1,20,23,87.0,15,34,49,20,8,3,10,24,-21
643,MIL,PHX,02/02/2020,240,W,129,48,97,49.5,15,38,39.5,18,27,66.7,16,44,60,30,4,12,17,25,21
644,DET,DEN,02/02/2020,265,W,128,48,94,51.1,14,31,45.2,18,24,75.0,11,32,43,33,4,2,12,22,5
645,DEN,DET,02/02/2020,265,L,123,48,96,50.0,10,32,31.3,17,22,77.3,14,33,47,30,7,7,10,19,-5
646,NOP,HOU,02/02/2020,240,L,109,42,94,44.7,10,33,30.3,15,20,75.0,16,47,63,21,6,6,23,16,-8
647,HOU,NOP,02/02/2020,240,W,117,41,105,39.0,16,51,31.4,19,22,86.4,11,32,43,22,14,3,8,18,8
648,BKN,WAS,02/01/2020,240,L,107,39,94,41.5,16,47,34.0,13,21,61.9,12,41,53,25,5,7,16,22,-6
649,WAS,BKN,02/01/2020,240,W,113,44,100,44.0,9,32,28.1,16,26,61.5,18,33,51,21,9,8,10,20,6
650,SAC,LAL,02/01/2020,240,L,113,39,91,42.9,14,44,31.8,21,26,80.8,13,31,44,21,5,4,16,24,-16
651,LAL,SAC,02/01/2020,240,W,129,44,86,51.2,19,43,44.2,22,27,81.5,11,35,46,33,10,5,15,22,16
652,DAL,ATL,02/01/2020,240,W,123,44,94,46.8,20,39,51.3,15,16,93.8,10,43,53,26,6,8,9,14,23
653,ATL,DAL,02/01/2020,240,L,100,37,91,40.7,10,33,30.3,16,21,76.2,10,40,50,19,6,4,11,15,-23
654,IND,NYK,02/01/2020,240,L,85,32,76,42.1,8,24,33.3,13,21,61.9,4,30,34,21,4,1,11,20,-7
655,NYK,IND,02/01/2020,240,W,92,34,82,41.5,7,26,26.9,17,23,73.9,14,43,57,19,5,1,13,20,7
656,POR,UTA,02/01/2020,240,W,124,47,92,51.1,15,29,51.7,15,18,83.3,14,37,51,20,4,5,12,19,17
657,UTA,POR,02/01/2020,240,L,107,40,94,42.6,18,41,43.9,9,9,100,11,26,37,19,6,4,10,17,-17
658,CLE,GSW,02/01/2020,240,L,112,41,95,43.2,16,44,36.4,14,14,100,13,33,46,26,8,3,16,15,-19
659,GSW,CLE,02/01/2020,240,W,131,48,90,53.3,18,35,51.4,17,19,89.5,10,34,44,39,11,10,11,16,19
660,ORL,MIA,02/01/2020,240,L,89,33,83,39.8,9,33,27.3,14,17,82.4,7,32,39,21,5,5,10,19,-13
661,MIA,ORL,02/01/2020,240,W,102,33,77,42.9,15,33,45.5,21,26,80.8,10,38,48,24,6,8,13,16,13
662,LAC,MIN,02/01/2020,240,W,118,45,98,45.9,12,34,35.3,16,18,88.9,12,38,50,20,8,7,13,30,12
663,MIN,LAC,02/01/2020,240,L,106,34,84,40.5,7,39,17.9,31,37,83.8,6,38,44,24,9,4,17,20,-12
664,BOS,PHI,02/01/2020,240,W,116,38,80,47.5,8,30,26.7,32,41,78.0,9,33,42,15,9,2,11,20,21
665,PHI,BOS,02/01/2020,240,L,95,31,84,36.9,7,33,21.2,26,31,83.9,13,34,47,15,6,3,14,27,-21
666,CHA,SAS,02/01/2020,240,L,90,35,83,42.2,10,36,27.8,10,12,83.3,6,31,37,29,5,7,17,18,-24
667,SAS,CHA,02/01/2020,240,W,114,45,87,51.7,10,28,35.7,14,21,66.7,7,37,44,27,13,2,12,14,24
668,MEM,NOP,01/31/2020,240,L,111,45,96,46.9,6,31,19.4,15,26,57.7,11,23,34,17,10,8,11,21,-28
669,NOP,MEM,01/31/2020,240,W,139,51,95,53.7,15,34,44.1,22,26,84.6,16,41,57,30,8,4,19,22,28
670,MIL,DEN,01/31/2020,240,L,115,43,95,45.3,12,40,30.0,17,26,65.4,7,39,46,29,7,5,13,14,-12
671,DEN,MIL,01/31/2020,240,W,127,48,100,48.0,22,46,47.8,9,9,100,7,43,50,29,8,10,13,19,12
672,TOR,DET,01/31/2020,240,W,105,44,85,51.8,9,27,33.3,8,11,72.7,7,35,42,26,6,7,16,27,13
673,DET,TOR,01/31/2020,240,L,92,28,79,35.4,11,36,30.6,25,34,73.5,13,32,45,18,5,6,17,12,-13
674,HOU,DAL,01/31/2020,240,W,128,45,98,45.9,21,45,46.7,17,20,85.0,7,30,37,25,11,5,7,20,7
675,DAL,HOU,01/31/2020,240,L,121,43,90,47.8,14,36,38.9,21,27,77.8,14,38,52,29,2,9,17,18,-7
676,CHI,BKN,01/31/2020,240,L,118,42,86,48.8,12,34,35.3,22,26,84.6,11,27,38,27,7,3,14,21,-15
677,BKN,CHI,01/31/2020,240,W,133,50,80,62.5,15,31,48.4,18,25,72.0,5,32,37,31,8,5,20,21,15
678,OKC,PHX,01/31/2020,240,W,111,42,97,43.3,7,31,22.6,20,22,90.9,15,26,41,26,13,4,14,24,4
679,PHX,OKC,01/31/2020,240,L,107,36,76,47.4,9,24,37.5,26,29,89.7,11,29,40,20,6,6,20,25,-4
680,LAL,POR,01/31/2020,240,L,119,45,96,46.9,11,32,34.4,18,28,64.3,19,43,62,28,2,10,19,21,-8
681,POR,LAL,01/31/2020,240,W,127,49,97,50.5,13,36,36.1,16,21,76.2,6,34,40,25,10,8,7,22,8
682,WAS,CHA,01/30/2020,240,W,121,41,86,47.7,14,37,37.8,25,27,92.6,19,38,57,24,3,6,20,22,14
683,CHA,WAS,01/30/2020,240,L,107,43,99,43.4,9,30,30.0,12,19,63.2,16,22,38,32,9,4,9,24,-14
684,DEN,UTA,01/30/2020,240,W,106,40,85,47.1,9,27,33.3,17,21,81.0,8,35,43,25,7,5,10,16,6
685,UTA,DEN,01/30/2020,240,L,100,36,78,46.2,17,37,45.9,11,17,64.7,5,30,35,24,4,6,16,17,-6
686,ATL,PHI,01/30/2020,240,W,127,42,87,48.3,11,35,31.4,32,37,86.5,10,38,48,29,5,4,16,29,10
687,PHI,ATL,01/30/2020,240,L,117,38,82,46.3,9,31,29.0,32,45,71.1,8,34,42,22,11,2,12,21,-10
688,TOR,CLE,01/30/2020,240,W,115,41,84,48.8,12,32,37.5,21,28,75.0,9,28,37,23,13,3,14,20,6
689,CLE,TOR,01/30/2020,240,L,109,42,90,46.7,13,36,36.1,12,14,85.7,15,37,52,23,7,3,23,21,-6
690,SAC,LAC,01/30/2020,240,W,124,44,88,50.0,21,41,51.2,15,18,83.3,11,36,47,27,11,8,12,21,21
691,LAC,SAC,01/30/2020,240,L,103,35,92,38.0,13,31,41.9,20,25,80.0,11,28,39,26,6,6,15,20,-21
692,GSW,BOS,01/30/2020,240,L,104,33,77,42.9,12,39,30.8,26,30,86.7,3,27,30,24,11,6,17,19,-15
693,BOS,GSW,01/30/2020,240,W,119,42,88,47.7,15,35,42.9,20,22,90.9,14,37,51,27,12,4,23,24,15
694,OKC,SAC,01/29/2020,240,W,120,44,88,50.0,15,34,44.1,17,20,85.0,10,35,45,32,9,5,13,17,20
695,SAC,OKC,01/29/2020,240,L,100,42,91,46.2,9,39,23.1,7,11,63.6,11,28,39,22,6,2,14,22,-20
696,IND,CHI,01/29/2020,265,W,115,46,89,51.7,7,27,25.9,16,22,72.7,13,33,46,26,8,2,19,14,9
697,CHI,IND,01/29/2020,265,L,106,45,85,52.9,6,33,18.2,10,15,66.7,6,28,34,26,10,3,20,17,-9
698,HOU,POR,01/29/2020,240,L,112,40,94,42.6,17,47,36.2,15,18,83.3,9,30,39,21,8,5,15,23,-13
699,POR,HOU,01/29/2020,240,W,125,46,89,51.7,13,36,36.1,20,27,74.1,10,40,50,24,8,8,19,20,13
700,DET,BKN,01/29/2020,240,L,115,42,83,50.6,10,26,38.5,21,28,75.0,9,32,41,25,6,5,16,20,-10
701,BKN,DET,01/29/2020,240,W,125,43,85,50.6,15,39,38.5,24,30,80.0,8,29,37,26,8,7,10,19,10
702,MEM,NYK,01/29/2020,240,W,127,43,86,50.0,13,28,46.4,28,33,84.8,7,37,44,25,7,3,12,22,21
703,NYK,MEM,01/29/2020,240,L,106,39,91,42.9,9,28,32.1,19,29,65.5,11,35,46,26,9,6,18,22,-21
704,UTA,SAS,01/29/2020,240,L,120,37,84,44.0,14,38,36.8,32,46,69.6,12,31,43,18,4,0,13,22,-7
705,SAS,UTA,01/29/2020,240,W,127,46,82,56.1,8,31,25.8,27,30,90.0,4,31,35,23,5,2,9,27,7
706,MEM,DEN,01/28/2020,240,W,104,46,82,56.1,6,18,33.3,6,14,42.9,6,35,41,32,12,11,16,18,8
707,DEN,MEM,01/28/2020,240,L,96,32,86,37.2,17,45,37.8,15,18,83.3,13,31,44,23,9,4,19,16,-8
708,ATL,TOR,01/28/2020,240,L,114,41,92,44.6,12,47,25.5,20,25,80.0,10,34,44,28,10,2,18,23,-16
709,TOR,ATL,01/28/2020,240,W,130,48,97,49.5,13,43,30.2,21,27,77.8,10,42,52,26,10,6,13,26,16
710,NYK,CHA,01/28/2020,240,L,92,38,86,44.2,9,32,28.1,7,11,63.6,8,34,42,17,5,7,14,26,-5
711,CHA,NYK,01/28/2020,240,W,97,34,88,38.6,8,32,25.0,21,27,77.8,16,35,51,22,5,4,14,14,5
712,PHX,DAL,01/28/2020,240,W,133,51,86,59.3,12,28,42.9,19,21,90.5,8,31,39,34,10,4,13,25,29
713,DAL,PHX,01/28/2020,240,L,104,37,83,44.6,7,33,21.2,23,27,85.2,8,25,33,19,6,0,17,18,-29
714,MIL,WAS,01/28/2020,240,W,151,50,90,55.6,19,37,51.4,32,35,91.4,11,35,46,31,3,3,15,26,20
715,WAS,MIL,01/28/2020,240,L,131,44,94,46.8,14,32,43.8,29,34,85.3,11,24,35,28,6,6,11,27,-20
716,BOS,MIA,01/28/2020,240,W,109,39,83,47.0,13,36,36.1,18,24,75.0,11,37,48,24,5,8,14,22,8
717,MIA,BOS,01/28/2020,240,L,101,33,89,37.1,9,37,24.3,26,31,83.9,11,34,45,15,11,2,11,21,-8
718,NOP,CLE,01/28/2020,240,W,125,47,88,53.4,13,34,38.2,18,24,75.0,7,34,41,29,9,11,18,16,14
719,CLE,NOP,01/28/2020,240,L,111,42,97,43.3,11,34,32.4,16,18,88.9,14,32,46,25,7,2,14,20,-14
720,GSW,PHI,01/28/2020,240,L,104,37,87,42.5,15,40,37.5,15,21,71.4,6,34,40,29,6,3,14,24,-11
721,PHI,GSW,01/28/2020,240,W,115,42,82,51.2,11,32,34.4,20,26,76.9,2,42,44,28,5,3,16,18,11
722,DAL,OKC,01/27/2020,240,W,107,41,99,41.4,19,51,37.3,6,9,66.7,12,44,56,21,3,3,9,16,10
723,OKC,DAL,01/27/2020,240,L,97,34,86,39.5,12,30,40.0,17,19,89.5,6,42,48,23,2,4,10,11,-10
724,SAC,MIN,01/27/2020,265,W,133,44,88,50.0,18,40,45.0,27,34,79.4,9,35,44,27,6,8,16,27,4
725,MIN,SAC,01/27/2020,265,L,129,43,89,48.3,23,46,50.0,20,33,60.6,10,35,45,29,7,8,22,27,-4
726,UTA,HOU,01/27/2020,240,L,117,43,85,50.6,12,42,28.6,19,26,73.1,2,36,38,24,7,3,18,33,-9
727,HOU,UTA,01/27/2020,240,W,126,38,81,46.9,15,40,37.5,35,49,71.4,6,34,40,14,11,4,17,25,9
728,CLE,DET,01/27/2020,240,W,115,48,96,50.0,9,24,37.5,10,13,76.9,11,34,45,25,9,6,14,21,15
729,DET,CLE,01/27/2020,240,L,100,38,84,45.2,12,35,34.3,12,17,70.6,9,28,37,18,8,7,18,20,-15
730,MIA,ORL,01/27/2020,240,W,113,42,79,53.2,14,28,50.0,15,16,93.8,3,38,41,31,2,9,12,18,21
731,ORL,MIA,01/27/2020,240,L,92,33,89,37.1,11,37,29.7,15,19,78.9,11,30,41,23,7,6,7,13,-21
732,SAS,CHI,01/27/2020,240,L,109,38,82,46.3,10,25,40.0,23,34,67.6,12,35,47,21,2,6,12,12,-1
733,CHI,SAS,01/27/2020,240,W,110,42,93,45.2,14,37,37.8,12,15,80.0,14,36,50,28,8,2,12,23,1
734,BOS,NOP,01/26/2020,240,L,108,41,89,46.1,8,33,24.2,18,22,81.8,7,30,37,21,6,5,17,29,-15
735,NOP,BOS,01/26/2020,240,W,123,44,92,47.8,16,36,44.4,19,29,65.5,18,36,54,31,7,5,20,21,15
736,MEM,PHX,01/26/2020,240,W,114,44,84,52.4,8,19,42.1,18,26,69.2,8,38,46,25,10,8,26,27,5
737,PHX,MEM,01/26/2020,240,L,109,35,92,38.0,11,29,37.9,28,35,80.0,12,30,42,23,14,7,18,27,-5
738,DEN,HOU,01/26/2020,240,W,117,44,93,47.3,11,28,39.3,18,20,90.0,11,31,42,28,10,3,15,23,7
739,HOU,DEN,01/26/2020,240,L,110,40,88,45.5,11,33,33.3,19,27,70.4,15,29,44,19,6,7,18,21,-7
